Visual	Somatomotor	Dorsal Attention	Ventral Attention	Limbic	Frontoparietal	Default Mode	cluster
0.004289422	0.042569164	0.06667971	0.03231822	0.14759977	0.02679202	0.023173327	1
-0.33133733	-0.7493385	-0.582821	-1.3095342	-1.3598646	-1.103186	-0.77265066	2
-0.54588073	-1.268552	-0.9628751	-2.180216	-2.3864233	-1.806143	-1.2894547	0
-0.57833844	-1.3965988	-0.9599748	-2.3653283	-2.705652	-1.8859314	-1.4001615	0
-0.44773945	-1.2150066	-0.6652132	-1.9925032	-2.4281383	-1.4541444	-1.1769314	0
-0.22595191	-0.9190319	-0.2891912	-1.4038318	-1.8699139	-0.81819177	-0.81364	2
0.008533039	-0.67637604	-0.01622644	-0.92566115	-1.327651	-0.28066626	-0.4964923	2
0.20109059	-0.5377944	0.0963084	-0.6988994	-0.9304246	0.008386794	-0.3197965	2
0.3237976	-0.4500178	0.11587448	-0.6617952	-0.6498407	0.0724134	-0.28699103	2
0.3653135	-0.33539137	0.15323761	-0.6565315	-0.41219813	0.031019466	-0.35977775	2
0.32795453	-0.16195332	0.27308783	-0.5590796	-0.19044484	0.0046129734	-0.4924129	1
0.2350386	0.04350526	0.4564573	-0.34745845	-0.0055633094	0.05955048	-0.6286162	1
0.13318038	0.22885184	0.6261667	-0.089531936	0.12946533	0.20010872	-0.69278216	1
0.07572112	0.3551591	0.7046995	0.1156001	0.24037714	0.38440996	-0.61393833	1
0.093970515	0.41288388	0.66333985	0.19861877	0.35892832	0.54776365	-0.3759311	1
0.17993754	0.4182742	0.5373727	0.15652558	0.4698255	0.6312981	-0.045231193	1
0.29752243	0.40429476	0.40548015	0.05441517	0.5081879	0.61135453	0.26093602	1
0.41316715	0.4097216	0.3475298	-0.008218472	0.42428762	0.5131622	0.44820133	1
0.5174355	0.46056944	0.4007689	0.045415796	0.254844	0.39452916	0.5007706	1
0.61666864	0.54707706	0.5340812	0.21813314	0.12216585	0.30699745	0.4741143	1
0.70299894	0.615995	0.6556008	0.4282037	0.1457435	0.26228392	0.43520847	1
0.73451793	0.59611535	0.65699804	0.55401206	0.33595526	0.22911362	0.4043861	1
0.65200686	0.44760805	0.47637716	0.5101564	0.56492937	0.16135754	0.34645376	1
0.4260733	0.19742273	0.1420864	0.30379772	0.64900684	0.034437872	0.21289249	1
0.095925726	-0.07360485	-0.23740949	0.029337127	0.4827746	-0.13715507	-0.0055479254	1
-0.23984084	-0.28722826	-0.53844136	-0.19648395	0.11872232	-0.31157628	-0.26105106	2
-0.4817992	-0.42194548	-0.698686	-0.31050473	-0.27072346	-0.44825327	-0.47752804	2
-0.5923409	-0.51661456	-0.7474205	-0.3317642	-0.51659745	-0.5301488	-0.5976635	2
-0.6084415	-0.61884737	-0.7656718	-0.32348672	-0.5625333	-0.5645205	-0.6082457	2
-0.59391934	-0.7248291	-0.8100239	-0.32584238	-0.4769804	-0.5665114	-0.5292491	2
-0.57682604	-0.76747286	-0.86379445	-0.32057667	-0.3705326	-0.5434284	-0.3875814	2
-0.5307769	-0.66748935	-0.8544374	-0.25665864	-0.2979844	-0.49324134	-0.20554511	2
-0.4153061	-0.4049595	-0.71934044	-0.10839221	-0.23000821	-0.41377252	-0.009666435	2
-0.23292056	-0.048511133	-0.46301848	0.09221291	-0.11171419	-0.3070576	0.16271877	1
-0.04472815	0.2868157	-0.15797393	0.2821042	0.055064287	-0.16974328	0.28055653	1
0.074098915	0.5216399	0.11053419	0.42959028	0.1918937	0.019643636	0.35079494	1
0.100752436	0.6657024	0.30784956	0.5710601	0.2144169	0.2928411	0.42937744	1
0.09169889	0.7930014	0.46498984	0.77712786	0.13066901	0.6528547	0.58561087	1
0.14031509	0.95386165	0.62980586	1.0664927	0.066169225	1.0284905	0.8362317	1
0.29557794	1.0990964	0.79687464	1.3431292	0.17543115	1.2714703	1.102811	3
0.50804347	1.0900295	0.88198435	1.4258122	0.5074042	1.2230769	1.2383964	3
0.64778876	0.7979088	0.77041864	1.1632252	0.9407693	0.8158734	1.1144596	3
0.5802462	0.21692634	0.40440735	0.5498744	1.2440505	0.13469027	0.70512575	1
0.24614303	-0.49877557	-0.1563287	-0.2451402	1.2102436	-0.61020213	0.107526734	1
-0.2975304	-1.1008334	-0.7421825	-0.9517731	0.7707747	-1.1729077	-0.50562674	2
-0.8839459	-1.3660524	-1.1415786	-1.3186932	0.034126222	-1.3625485	-0.95451885	2
-1.2834849	-1.1971678	-1.1918274	-1.2137353	-0.7470788	-1.1002451	-1.1019946	0
-1.2888658	-0.66251117	-0.85437363	-0.6750079	-1.260801	-0.4481843	-0.8870126	2
-0.8233064	0.030739833	-0.2445364	0.094137505	-1.2604375	0.38692763	-0.35805798	2
-0.019391598	0.61682725	0.40372294	0.7924896	-0.6980861	1.1018809	0.3096376	1
0.8009657	0.880011	0.8345652	1.143206	0.20944472	1.4129255	0.8561778	3
1.2686877	0.7476547	0.8887246	1.0222523	1.057658	1.1966864	1.0505296	3
1.1648794	0.31716764	0.5793489	0.51677024	1.4647902	0.5650045	0.8175736	1
0.54769075	-0.20440271	0.07711726	-0.13138482	1.2914592	-0.19092852	0.28585988	1
-0.28378627	-0.6141637	-0.3890549	-0.6642084	0.71251464	-0.7614909	-0.28978288	2
-0.9701673	-0.8090496	-0.65379137	-0.93697655	0.081810616	-0.98000896	-0.6819531	2
-1.2927806	-0.8053335	-0.68246454	-0.95772105	-0.3121913	-0.8788411	-0.81148916	2
-1.2561982	-0.67978907	-0.5460364	-0.8246713	-0.41573966	-0.61245817	-0.7522063	2
-1.007539	-0.48726946	-0.3339642	-0.6225074	-0.3803193	-0.31816375	-0.6278223	2
-0.678483	-0.22515057	-0.08209268	-0.3634776	-0.37468478	-0.02933272	-0.49347147	2
-0.29337582	0.12582022	0.22368643	-0.018881997	-0.41232535	0.29238415	-0.3036141	1
0.18249388	0.5248947	0.5780593	0.39280945	-0.35237524	0.6472098	0.007866546	1
0.7166295	0.8399718	0.8959364	0.75069976	-0.0718067	0.9257254	0.4112801	1
1.1442274	0.91021866	1.0321391	0.8774115	0.35647666	0.95931447	0.7436671	3
1.2477345	0.6674095	0.87982804	0.6663937	0.65790135	0.6610582	0.80236745	3
0.9288257	0.21966906	0.47147208	0.1915476	0.5485871	0.13533132	0.5069857	1
0.33047822	-0.17955062	-0.0036519133	-0.29707488	-0.025820723	-0.34658197	0.00029831412	1
-0.20081684	-0.2705468	-0.29027215	-0.50440854	-0.80100185	-0.5003161	-0.4029653	2
-0.30315915	0.05168614	-0.21251708	-0.26795876	-1.3328758	-0.20810395	-0.3998504	2
0.17948094	0.6587294	0.21770513	0.33230656	-1.2707795	0.39607558	0.101322405	1
1.0830966	1.2470125	0.79830724	1.0043784	-0.5789272	0.9922526	0.8992883	3
1.9913673	1.5052375	1.2450753	1.402685	0.4367431	1.2538835	1.5979146	3
2.4516194	1.2933981	1.3463249	1.3231047	1.3055867	1.034634	1.8308046	3
2.215963	0.7211334	1.0695659	0.8153532	1.6545864	0.44834992	1.4729804	3
1.3659422	0.07167365	0.55623215	0.14089185	1.395683	-0.20937875	0.7033327	1
0.24741298	-0.3802712	0.015746	-0.3963524	0.7375744	-0.6485467	-0.12089728	1
-0.73879945	-0.5328788	-0.40264153	-0.633366	0.03326991	-0.7569789	-0.68864155	2
-1.3511295	-0.4903555	-0.6711925	-0.62177306	-0.43188423	-0.6409441	-0.9032452	2
-1.5864643	-0.44579455	-0.8428201	-0.54458404	-0.5791363	-0.5091509	-0.8841267	2
-1.586507	-0.50834715	-0.9534738	-0.5445566	-0.52095973	-0.49264148	-0.8177287	2
-1.4683603	-0.6163095	-0.96158284	-0.6055329	-0.41892174	-0.54836065	-0.788699	2
-1.233577	-0.61170834	-0.78890955	-0.59068805	-0.3407731	-0.5299013	-0.7338947	2
-0.83134335	-0.4135386	-0.43223086	-0.40625677	-0.24314122	-0.36163586	-0.5520485	2
-0.30053696	-0.13045175	-0.034641806	-0.1357157	-0.08751323	-0.1482745	-0.25798526	2
0.16698672	0.0052030613	0.17624229	-0.0007235901	0.041037854	-0.099593334	-0.022599647	1
0.33041734	-0.15586796	0.05942975	-0.15935281	-0.04083612	-0.32112548	-0.04107463	1
0.100686245	-0.5063726	-0.29521203	-0.5138303	-0.43678105	-0.65938723	-0.33527926	2
-0.33524022	-0.70684445	-0.5853674	-0.7145142	-0.9966618	-0.75991017	-0.67096543	2
-0.5928354	-0.41883942	-0.49096543	-0.39240086	-1.3299289	-0.3198624	-0.68512213	2
-0.34133282	0.41513166	0.08472287	0.5401004	-1.042898	0.65078896	-0.14733997	1
0.4416668	1.4593697	0.905147	1.7504857	-0.042920172	1.7643518	0.8342574	3
1.398748	2.1444116	1.5131631	2.6318772	1.3209623	2.4511518	1.8198359	3
1.9730871	2.0089931	1.5023037	2.6525357	2.4050374	2.2935455	2.2683005	3
1.7390382	0.9998374	0.77108705	1.6817405	2.6283436	1.2801558	1.8510853	3
0.67470115	-0.47387764	-0.4039607	0.079785466	1.8163254	-0.17992213	0.6547128	1
-0.8008451	-1.7691784	-1.5190222	-1.4990232	0.3145936	-1.4824138	-0.85089904	0
-2.0531132	-2.3692703	-2.1172564	-2.4559488	-1.1947546	-2.1452281	-2.0567493	0
-2.5794318	-2.1448941	-2.0190794	-2.5345476	-2.0586507	-2.0305264	-2.5255349	0
-2.263285	-1.3687187	-1.3824781	-1.8928217	-1.9832166	-1.3608077	-2.19227	0
-1.3899823	-0.5049959	-0.57757825	-0.9544905	-1.1454464	-0.5484791	-1.35307	2
-0.43616638	0.06868745	0.034343276	-0.15686005	-0.042622086	0.040875297	-0.4679928	1
0.21608299	0.23435038	0.28319266	0.25287363	0.8095106	0.25262085	0.09459528	1
0.45917812	0.121201955	0.23540899	0.2771423	1.1418408	0.15889849	0.22475952	1
0.4407352	-0.04560837	0.09485644	0.08533032	1.0136565	-0.05129001	0.067854024	1
0.39180595	-0.11258876	0.040956713	-0.13104944	0.69064116	-0.21530916	-0.12109233	1
0.44295716	-0.07376287	0.11585651	-0.26773798	0.42700166	-0.27980047	-0.15590973	1
0.5549972	-0.02728897	0.22637975	-0.32713667	0.30844185	-0.28765363	-0.015942901	1
0.59156466	-0.067438	0.24223612	-0.35966322	0.25267324	-0.30170783	0.18542446	1
0.4564031	-0.19699822	0.11023309	-0.38479835	0.14111339	-0.33092272	0.317217	1
0.18214588	-0.31790107	-0.098316334	-0.35423633	-0.04017662	-0.3126032	0.33843407	1
-0.09467647	-0.30202666	-0.2383992	-0.18715526	-0.17214882	-0.16316722	0.31831157	1
-0.24623924	-0.092035145	-0.20083977	0.14625128	-0.11423774	0.13932785	0.3594346	1
-0.25756055	0.24174471	0.0037511715	0.5629243	0.13780105	0.5089129	0.4910025	1
-0.23096764	0.5385829	0.25437623	0.8934315	0.39368355	0.79170585	0.62769216	1
-0.28278834	0.6604626	0.41665074	0.9946829	0.3854859	0.8724747	0.6375299	1
-0.42192677	0.59504724	0.4467202	0.86158895	-0.016205782	0.7606727	0.46463856	1
-0.5231035	0.45993385	0.41286048	0.63422674	-0.6667216	0.57547945	0.19577901	1
-0.42591292	0.3992023	0.4178828	0.48216975	-1.2220429	0.4382877	0.0032332619	1
-0.07534692	0.46084163	0.49663743	0.46347257	-1.3780906	0.37216413	0.007960429	1
0.42057955	0.5660467	0.58714294	0.4888786	-1.083104	0.30711877	0.18344656	1
0.8663755	0.6001553	0.60431826	0.43038875	-0.5527664	0.1893704	0.38748723	1
1.120379	0.5416507	0.5446832	0.27677163	-0.08743654	0.085799634	0.494241	1
1.1817558	0.50648993	0.5154299	0.18603705	0.14760125	0.16828062	0.50825304	1
1.1590338	0.6588444	0.64947295	0.37089857	0.20558405	0.5702315	0.55882955	1
1.162985	1.0598174	0.9776023	0.9035599	0.2647096	1.2326978	0.7798101	3
1.2249085	1.5840987	1.3753393	1.6062233	0.46422657	1.8824929	1.1790545	3
1.3026136	1.9796396	1.6391923	2.1310425	0.8128179	2.182111	1.6083393	3
1.3455157	2.0265427	1.6312307	2.1792889	1.2217531	1.9465046	1.8570075	3
1.338361	1.6712731	1.3689008	1.6936326	1.5954597	1.2605234	1.7899209	3
1.2787066	1.0377817	0.9867123	0.87837607	1.8765658	0.40854415	1.4199333	3
1.1254829	0.32262567	0.61210775	0.04344007	2.0160384	-0.32033598	0.86954355	1
0.7950539	-0.3283148	0.27080485	-0.59381604	1.9342165	-0.79499644	0.2725134	1
0.23130229	-0.86689425	-0.10061743	-0.9995213	1.5474286	-1.0616649	-0.2953449	2
-0.51150334	-1.3026191	-0.56302756	-1.2674977	0.8493605	-1.2410035	-0.81364304	2
-1.2617842	-1.6397208	-1.0978975	-1.4976007	-0.0405452	-1.4128166	-1.2730666	0
-1.8191131	-1.8529378	-1.6065248	-1.7125309	-0.92369	-1.5720541	-1.6426028	0
-2.0632288	-1.904889	-1.9653269	-1.8518598	-1.6257784	-1.653171	-1.8688068	0
-1.9916524	-1.7691141	-2.078528	-1.8165647	-2.0612028	-1.5741012	-1.8924314	0
-1.6704146	-1.4382563	-1.8992541	-1.5263444	-2.212026	-1.2727883	-1.6680554	0
-1.166403	-0.9289975	-1.4342214	-0.9696896	-2.0704527	-0.7406248	-1.1879729	0
-0.53383136	-0.29687774	-0.75204587	-0.2315237	-1.6247939	-0.050999373	-0.5081882	2
0.14324547	0.35096958	0.011534054	0.5202022	-0.90769124	0.64070874	0.24262342	1
0.7148359	0.8691049	0.6728418	1.0911843	-0.048450027	1.1421185	0.8890724	3
0.99346316	1.1181985	1.0497929	1.3317554	0.73755753	1.2960492	1.2626749	3
0.8451424	1.0197384	1.024838	1.1843728	1.230909	1.0431807	1.2569004	3
0.28467578	0.59499246	0.5974091	0.6964169	1.3109735	0.4527148	0.8647455	1
-0.49267328	-0.026352815	-0.09439385	0.013231972	1.0181776	-0.2831348	0.19437557	1
-1.1764009	-0.6356745	-0.80254394	-0.6442853	0.5421686	-0.8981373	-0.545692	2
-1.4825115	-1.0183598	-1.260231	-1.0399247	0.13663985	-1.153499	-1.1098753	2
-1.3030728	-1.0552702	-1.3120347	-1.029916	-0.008460228	-0.9658348	-1.3240584	2
-0.7753124	-0.7997196	-1.0108404	-0.66677886	0.12288326	-0.4833304	-1.185358	2
-0.214202	-0.46344894	-0.60065705	-0.20579055	0.35287023	-0.029572451	-0.873977	2
0.06607196	-0.29438823	-0.37084237	0.031892695	0.41492808	0.08347619	-0.6459339	1
-0.06506847	-0.41561183	-0.4683799	-0.13123924	0.13167788	-0.23829286	-0.66885364	2
-0.4871875	-0.7398705	-0.80075485	-0.59686595	-0.455393	-0.79417956	-0.91631967	2
-0.9190151	-1.0261062	-1.1019124	-1.0435785	-1.1036215	-1.2076612	-1.1953826	0
-1.0976669	-1.0388684	-1.1127295	-1.136137	-1.5241328	-1.1671666	-1.2817365	0
-0.92324525	-0.69750756	-0.74547607	-0.74576676	-1.5589647	-0.62515193	-1.0631568	2
-0.48354286	-0.11600767	-0.121332355	-0.028969008	-1.2548615	0.17943288	-0.59639937	2
0.035617996	0.48308846	0.5317522	0.68474853	-0.79574347	0.8863072	-0.05025488	1
0.47767282	0.9116001	1.0343853	1.1106128	-0.3617625	1.2457875	0.41551095	1
0.79352087	1.114779	1.3476363	1.1747131	-0.024248615	1.2510059	0.74704826	3
1.02876	1.1645209	1.5420978	1.0157449	0.25707173	1.083088	1.0020285	3
1.2429984	1.1647927	1.6849049	0.838083	0.551436	0.9297472	1.264875	3
1.4295366	1.1513492	1.7498962	0.7440492	0.8653007	0.8341122	1.5422148	3
1.5008011	1.067099	1.6313323	0.6778752	1.1148094	0.69300944	1.7270974	3
1.3537766	0.82944673	1.2490213	0.51149786	1.1797295	0.38909647	1.6678197	3
0.9661064	0.43021384	0.6532321	0.18601245	0.9942196	-0.067711346	1.2927979	1
0.44729695	-0.01588522	0.038384046	-0.21073732	0.60813206	-0.50833166	0.69558114	1
0.0020891475	-0.31605032	-0.35133806	-0.48628512	0.17965534	-0.7029282	0.11204619	2
-0.17323618	-0.30944407	-0.36019078	-0.467175	-0.093260236	-0.5129293	-0.20014012	2
0.002575107	0.029366491	-0.012294512	-0.115411684	-0.06447797	0.008348186	-0.10407413	1
0.44579303	0.55840015	0.49698463	0.435213	0.28653973	0.6292622	0.33663434	1
0.9361947	1.0280275	0.89911854	0.9407177	0.8266859	1.0585598	0.88297516	3
1.2089223	1.2020102	0.98319525	1.169765	1.3030444	1.1015143	1.235004	3
1.0744704	0.9781146	0.69401956	1.0227091	1.4425857	0.76630396	1.180084	3
0.52102137	0.44634646	0.15421028	0.5857523	1.0941985	0.2599325	0.70612144	1
-0.25229764	-0.14870478	-0.39761868	0.089717865	0.34710234	-0.1275741	0.021792555	1
-0.9083592	-0.52933127	-0.7250563	-0.21100126	-0.46342254	-0.18907897	-0.53930855	2
-1.1383144	-0.53302824	-0.7144326	-0.17968099	-0.911068	0.07723658	-0.69657546	2
-0.84021527	-0.20793091	-0.43627563	0.12004331	-0.7347567	0.46232602	-0.39106125	2
-0.19574547	0.20674065	-0.107931085	0.45481038	-0.03292757	0.6655924	0.161878	1
0.4227756	0.41664517	0.032076493	0.55654263	0.76349556	0.4717782	0.5864949	1
0.6713972	0.24903868	-0.13070926	0.2828559	1.1527206	-0.12104856	0.57012093	1
0.4377061	-0.24508978	-0.5160928	-0.30120206	0.88401526	-0.90207803	0.053935926	1
-0.11300016	-0.8359714	-0.9071314	-0.9730496	0.10366494	-1.5730294	-0.73921466	2
-0.67638975	-1.2710325	-1.0981551	-1.4892203	-0.7774696	-1.9084375	-1.4557076	0
-1.0194952	-1.41905	-1.0220308	-1.7018611	-1.3766925	-1.8422982	-1.8252784	0
-1.100508	-1.2985226	-0.7631877	-1.5818355	-1.558709	-1.4412133	-1.7848659	0
-1.0226517	-0.99717176	-0.46138954	-1.1703008	-1.4319205	-0.82001364	-1.445051	2
-0.8913747	-0.5834152	-0.20084533	-0.53787357	-1.172563	-0.08815424	-0.96260154	2
-0.71566963	-0.096041724	0.022065755	0.20570427	-0.86216474	0.64155304	-0.4417017	2
-0.43475392	0.40085858	0.2427118	0.88887876	-0.4800568	1.2290595	0.068035364	1
-0.02603105	0.7849972	0.45476624	1.3101109	-0.025416015	1.5315896	0.5127077	1
0.42187363	0.92680156	0.5959491	1.3375009	0.38254356	1.4813958	0.8034137	3
0.7471727	0.7930849	0.6049783	1.0095047	0.5477217	1.1534251	0.8628616	3
0.83401513	0.50862944	0.49313933	0.54738426	0.35914946	0.7521861	0.7118154	1
0.7079103	0.3063625	0.36088502	0.24808902	-0.07221471	0.50736207	0.50668764	1
0.5217485	0.38535652	0.33778396	0.31464916	-0.43410712	0.5406703	0.46959868	1
0.43958825	0.7707735	0.48879665	0.7298757	-0.39727578	0.79213804	0.7404161	1
0.51178545	1.2741885	0.7583714	1.2550029	0.16139004	1.0551081	1.2550741	3
0.64099824	1.5871781	0.9947982	1.5566485	1.0547702	1.0962144	1.7498431	3
0.6606644	1.4531904	1.0357891	1.385572	1.8731092	0.7818541	1.9029069	3
