participant_id	condition_idx	onset	duration	start_tr	end_tr	n_trs	valence	arousal	valence_category	arousal_category	emotion_quadrant	CAP_1_frequency_pct	CAP_1_avg_dwell_time	CAP_1_max_dwell_time	CAP_1_min_dwell_time	CAP_1_std_dwell_time	CAP_1_total_dwell_time	CAP_1_n_visits	CAP_1_avg_dwell_time_sec	CAP_1_max_dwell_time_sec	CAP_1_total_dwell_time_sec	CAP_1_transitions_out	CAP_2_frequency_pct	CAP_2_avg_dwell_time	CAP_2_max_dwell_time	CAP_2_min_dwell_time	CAP_2_std_dwell_time	CAP_2_total_dwell_time	CAP_2_n_visits	CAP_2_avg_dwell_time_sec	CAP_2_max_dwell_time_sec	CAP_2_total_dwell_time_sec	CAP_2_transitions_out	CAP_3_frequency_pct	CAP_3_avg_dwell_time	CAP_3_max_dwell_time	CAP_3_min_dwell_time	CAP_3_std_dwell_time	CAP_3_total_dwell_time	CAP_3_n_visits	CAP_3_avg_dwell_time_sec	CAP_3_max_dwell_time_sec	CAP_3_total_dwell_time_sec	CAP_3_transitions_out	CAP_4_frequency_pct	CAP_4_avg_dwell_time	CAP_4_max_dwell_time	CAP_4_min_dwell_time	CAP_4_std_dwell_time	CAP_4_total_dwell_time	CAP_4_n_visits	CAP_4_avg_dwell_time_sec	CAP_4_max_dwell_time_sec	CAP_4_total_dwell_time_sec	CAP_4_transitions_out	total_transitions	transition_rate	valence_t	arousal_t
sub-Blossom	0	3.0	1.5	2	3	1	6.920432452870734	4.256219005717882	high	high	val_high_ar_high	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	63.5698940585561	52.443994871440104
sub-Blossom	1	4.5	1.5	3	4	1	4.205286945660365	2.838882881562483	high	low	val_high_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	47.09324989631262	43.60149882250829
sub-Blossom	2	6.0	1.5	4	5	1	4.87006106279683	5.646047539620051	high	high	val_high_ar_high	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	51.12737865561467	61.114876189057014
sub-Blossom	3	7.5	1.5	5	6	1	7.0	4.381751068274917	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	64.05274337820764	53.22716602488566
sub-Blossom	4	9.0	1.5	6	7	1	3.1085507100248138	1.8297284066983113	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	40.43779344051049	37.305572045036335
sub-Blossom	5	10.5	1.5	7	8	1	4.975908328954851	4.14828339487241	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	51.76970435617127	51.7706047022529
sub-Blossom	6	12.0	1.5	8	9	1	4.630336698230824	5.708158919631937	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	49.67263045096607	61.502377518479555
sub-Blossom	7	13.5	1.5	9	10	1	7.0	6.134604310774628	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	64.05274337820764	64.16289087307389
sub-Blossom	8	15.0	1.5	10	11	1	1.5	2.135989947940797	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	30.6764316292853	39.216280748654704
sub-Blossom	9	16.5	1.5	11	12	1	3.2834485244474187	3.7817217944965225	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.49914689112396	49.4836951627494
sub-Blossom	10	18.0	1.5	12	13	1	7.0	5.061651169159349	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	64.05274337820764	57.46893609853106
sub-Blossom	11	19.5	1.5	13	14	1	2.7153535461387084	1.0451901283753058	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	38.051707782209625	32.410983874964174
sub-Blossom	12	21.0	1.5	14	15	1	2.900182254589149	4.212613832153265	low	high	val_low_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	39.17332607191737	52.17195031659756
sub-Blossom	13	22.5	1.5	15	16	1	5.35200376438088	2.0638265997590546	high	low	val_high_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	54.05200953801233	38.76606706235994
sub-Bubbles	14	3.0	1.5	2	3	1	6.61155976877589	4.339884048440679	high	high	val_high_ar_high	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	61.695524786724114	52.965965487373495
sub-Bubbles	15	4.5	1.5	3	4	1	4.103797792493083	3.153169430548363	high	low	val_high_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	46.47737105717711	45.562274054492256
sub-Bubbles	16	6.0	1.5	4	5	1	5.341541406532159	6.151905720533354	high	high	val_high_ar_high	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	53.98851955306911	64.27083114555066
sub-Bubbles	17	7.5	1.5	5	6	1	6.9694294692300005	5.066453697069418	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	63.86722854815136	57.49889817551895
sub-Bubbles	18	9.0	1.5	6	7	1	3.0995946275938357	1.729171193243212	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	40.38344416791679	36.6782143226766
sub-Bubbles	19	10.5	1.5	7	8	1	5.140483872229641	4.016856879806298	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	52.76841792682357	50.95065915765635
sub-Bubbles	20	12.0	1.5	8	9	1	4.505137517347633	6.376418142358006	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	48.91286919789932	65.67152232182588
sub-Bubbles	21	13.5	1.5	9	10	1	6.412296898564204	6.171249883083933	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	60.48631393651134	64.39151577215982
sub-Bubbles	22	15.0	1.5	10	11	1	1.9193143198407934	1.903150326064897	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	33.221007167429605	37.76363772249934
sub-Bubbles	23	16.5	1.5	11	12	1	3.1894363864713595	3.7886063714683758	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	40.92864172289274	49.526646755977474
sub-Bubbles	24	18.0	1.5	12	13	1	6.593998134161568	5.190553793595578	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	61.58895340641352	58.2731355596529
sub-Bubbles	25	19.5	1.5	13	14	1	3.06765032510315	1.1153938068401557	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	40.189592713638426	32.84897154695401
sub-Bubbles	26	21.0	1.5	14	15	1	3.2028914081704247	3.958475364403556	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.01029244995029	50.58642775870924
sub-Bubbles	27	22.5	1.5	15	16	1	4.914254742093208	1.6827613775778465	high	low	val_high_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	51.39556447698336	36.38867212823264
sub-Buttercup	28	3.0	1.5	2	3	1	6.732690264300382	3.8254035794607506	high	low	val_high_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	62.43059554689264	49.7562176818425
sub-Buttercup	29	4.5	1.5	3	4	1	3.8855091811965776	3.0003037743421763	low	low	val_low_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	45.15270401320047	44.608573702131544
sub-Buttercup	30	6.0	1.5	4	5	1	4.719667675115201	6.076799925329471	high	high	val_high_ar_high	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	50.214728366116745	63.80226008042101
sub-Buttercup	31	7.5	1.5	5	6	1	6.991795374659933	4.85922550704046	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	64.0029542630925	56.20604010160913
sub-Buttercup	32	9.0	1.5	6	7	1	2.906319158132468	1.77333923127454	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	39.210567382069165	36.95377048407327
sub-Buttercup	33	10.5	1.5	7	8	1	5.473300201521173	4.486636027581599	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	54.788087301653775	53.88152374741558
sub-Buttercup	34	12.0	1.5	8	9	1	5.169389056990156	6.175647331828826	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	52.94382673731941	64.41895063569672
sub-Buttercup	35	13.5	1.5	9	10	1	6.816453754673049	5.631648485167812	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	62.93890761377554	61.02504317066969
sub-Buttercup	36	15.0	1.5	10	11	1	2.253127226539897	1.922580454972351	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	35.24672419284837	37.88485867719474
sub-Buttercup	37	16.5	1.5	11	12	1	2.8702489752439266	4.124847222393404	low	high	val_low_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	38.99167835135488	51.62439078798385
sub-Buttercup	38	18.0	1.5	12	13	1	6.914459182883635	4.625390131717643	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	63.533645745601575	54.74718475519324
sub-Buttercup	39	19.5	1.5	13	14	1	3.3442380669240244	1.4496347041694533	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.868043385810054	34.934238241039694
sub-Buttercup	40	21.0	1.5	14	15	1	3.2816043171605553	4.302858997449013	low	high	val_low_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.48795546615378	52.73497309147982
sub-Buttercup	41	22.5	1.5	15	16	1	4.848137558587262	2.165070456357494	high	low	val_high_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	50.99433761722788	39.39770862337906
